"ParamClassID","param","WQIClass","Glacial","Criterion","Start Month","End Month","LowerResult","UpperResult","a","b","b2","Comments","...14"
417,"Temp","SpawnSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
418,"Temp","SpawnSupSalm","NA",13,1,7.5,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
418,"Temp","SpawnSupSalm","NA",17.5,7.5,9,-9,99,105.345,0.923907,-0.13556,"Spawning with Sup Salm spawning",NA
418,"Temp","SpawnSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Spawning with Sup Salm spawning",NA
501,"Temp","CoreSupSalm","NA",16,1,2.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
501,"Temp","CoreSupSalm","NA",13,2.5,6,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
501,"Temp","CoreSupSalm","NA",16,6,13,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
502,"Temp","CoreSupSalm","NA",16,1,2.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
502,"Temp","CoreSupSalm","NA",13,2.5,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
502,"Temp","CoreSupSalm","NA",16,6.5,13,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
503,"Temp","CoreSupSalm","NA",16,1,2.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
503,"Temp","CoreSupSalm","NA",13,2.5,7,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
503,"Temp","CoreSupSalm","NA",16,7,13,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
504,"Temp","CoreSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
504,"Temp","CoreSupSalm","NA",16,5.5,8.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
504,"Temp","CoreSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
505,"Temp","CoreSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
505,"Temp","CoreSupSalm","NA",16,5.5,9,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
505,"Temp","CoreSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
506,"Temp","CoreSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
506,"Temp","CoreSupSalm","NA",16,5.5,9.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
506,"Temp","CoreSupSalm","NA",13,9.5,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
507,"Temp","CoreSupSalm","NA",13,1,5.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
507,"Temp","CoreSupSalm","NA",16,5.5,10,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
507,"Temp","CoreSupSalm","NA",13,10,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
508,"Temp","CoreSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
508,"Temp","CoreSupSalm","NA",16,6.5,8,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
508,"Temp","CoreSupSalm","NA",13,8,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
509,"Temp","CoreSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
509,"Temp","CoreSupSalm","NA",16,6.5,8.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
509,"Temp","CoreSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
510,"Temp","CoreSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
510,"Temp","CoreSupSalm","NA",16,6.5,9,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
510,"Temp","CoreSupSalm","NA",13,9,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
511,"Temp","CoreSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
511,"Temp","CoreSupSalm","NA",16,6.5,9.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
511,"Temp","CoreSupSalm","NA",13,9.5,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
512,"Temp","CoreSupSalm","NA",13,1,6.5,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
512,"Temp","CoreSupSalm","NA",16,6.5,10,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
512,"Temp","CoreSupSalm","NA",13,10,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
513,"Temp","CoreSupSalm","NA",13,1,7,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
513,"Temp","CoreSupSalm","NA",16,7,8.5,-9,99,99.92,0.923907,-0.13556,"Core with Sup salm spawning",NA
513,"Temp","CoreSupSalm","NA",13,8.5,13,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
514,"Temp","CoreSupSalm","NA",13,1,7,-9,99,107.81,-0.1722,-0.1513,"Core with Sup salm spawning",NA
